numero,cliente,productos_cantidad,empleado,fecha,hora,observaciones,estado,precio
1,Bliss,Fib N9 - Prague Powder,Addie,2/2/2021,10:56 PM,jcb,ACTIVA,$14649.51
2,Leupold,Sugar - Splenda Sweetener,Cull,8/29/2020,6:19 AM,switch,ACTIVA,$13521.93
3,Doro,Bread Base - Goodhearth,Doreen,4/13/2020,4:42 PM,americanexpress,ACTIVA,$7124.34
4,Jaquith,Sole - Iqf,Bevan,4/12/2020,1:23 PM,solo,ACTIVA,$5488.47
5,Basia,Grapefruit - Pink,Myrilla,10/26/2020,4:48 AM,jcb,ACTIVA,$16493.40
6,Hallsy,Corn - Mini,Theodosia,1/17/2021,4:27 AM,diners-club-carte-blanche,ACTIVA,$6267.53
7,Neale,Island Oasis - Peach Daiquiri,Amelina,5/25/2020,11:06 PM,jcb,ACTIVA,$17497.82
8,Sophia,Orange Roughy 6/8 Oz,Pegeen,6/18/2020,9:23 AM,maestro,ACTIVA,$19587.13
9,Aime,"Wine - Red, Marechal Foch",Beilul,3/31/2020,12:29 AM,mastercard,ACTIVA,$13371.40
10,Seana,Kippers - Smoked,Dorelia,11/1/2020,2:11 AM,laser,ACTIVA,$6426.71
11,Guenna,Bread - Focaccia Quarter,Dyanna,12/6/2020,11:33 AM,visa,ACTIVA,$10372.20
12,Niko,Wine - Beaujolais Villages,Carlene,4/21/2020,11:01 PM,instapayment,ACTIVA,$6575.62
13,Hercule,Ice Cream - Fudge Bars,Othilia,11/17/2020,9:23 PM,diners-club-enroute,ACTIVA,$16506.04
14,Cletus,Crackers - Soda / Saltins,Penni,6/29/2020,1:06 AM,switch,ACTIVA,$18093.85
15,Alisa,Pie Shells 10,Shandy,12/11/2020,2:16 PM,jcb,ACTIVA,$8519.25
16,Damian,Beef - Montreal Smoked Brisket,Anatole,5/16/2020,8:13 PM,diners-club-carte-blanche,ACTIVA,$14666.60
17,Kayla,Pork - Caul Fat,Nevile,11/26/2020,8:10 PM,jcb,ACTIVA,$8182.28
18,Red,Bread - 10 Grain Parisian,Brittney,12/3/2020,7:26 AM,china-unionpay,ACTIVA,$5500.16
19,Merrile,Wine - Champagne Brut Veuve,Bea,12/3/2020,1:05 AM,instapayment,ACTIVA,$14007.71
20,Jammal,Cocoa Feuilletine,Westbrooke,6/9/2020,6:39 AM,laser,ACTIVA,$6182.06
21,Danice,Flour - Cake,Alfie,7/13/2020,1:48 AM,visa,ACTIVA,$19129.26
22,Sharlene,Flower - Carnations,Siegfried,7/16/2020,5:10 PM,diners-club-carte-blanche,ACTIVA,$19823.99
23,Luz,Sausage - Blood Pudding,Paton,9/22/2020,4:22 AM,visa-electron,ACTIVA,$14151.30
24,Wally,"Nut - Almond, Blanched, Whole",Adorne,6/29/2020,9:38 PM,diners-club-enroute,ACTIVA,$14155.08
25,Michelina,Gooseberry,Zarah,12/12/2020,10:03 PM,visa-electron,ACTIVA,$16942.88
26,Fey,"Chestnuts - Whole,canned",Marsh,10/24/2020,10:17 AM,jcb,ACTIVA,$11045.13
27,Brooks,Bread Base - Toscano,Ignace,2/14/2021,7:33 PM,china-unionpay,ACTIVA,$13765.76
28,Dionysus,Bacardi Raspberry,Janith,1/12/2021,8:30 PM,jcb,ACTIVA,$4827.66
29,Cly,"Pasta - Lasagne, Fresh",Cointon,1/31/2021,2:18 PM,jcb,ACTIVA,$19208.91
30,Tad,Wine - Clavet Saint Emilion,Madonna,10/10/2020,7:14 AM,jcb,ACTIVA,$13123.94
31,Brnaba,Salmon Steak - Cohoe 8 Oz,Ellwood,2/16/2021,2:04 AM,mastercard,ACTIVA,$7127.60
32,Shay,Cheese - Ricotta,Lisette,5/13/2020,12:21 AM,maestro,ACTIVA,$15002.57
33,Celestyna,Cheese - Valancey,Helenelizabeth,4/24/2020,6:39 AM,diners-club-international,ACTIVA,$13332.86
34,Ahmed,"Shrimp - Baby, Cold Water",Alta,8/25/2020,11:06 PM,diners-club-international,ACTIVA,$15496.82
35,Lethia,Salmon Steak - Cohoe 6 Oz,Robinet,1/23/2021,11:00 PM,jcb,ACTIVA,$7491.44
36,Dave,"Veal - Tenderloin, Untrimmed",Aeriel,9/4/2020,6:51 PM,maestro,ACTIVA,$18526.94
37,Jenda,Wine - Two Oceans Sauvignon,Glad,5/6/2020,2:27 PM,diners-club-international,ACTIVA,$7459.63
38,Melodee,Cheese - Pont Couvert,Jaquith,8/7/2020,5:04 PM,switch,ACTIVA,$9554.41
39,Allys,Sherbet - Raspberry,Caroljean,8/27/2020,9:44 AM,jcb,ACTIVA,$15066.85
40,Chanda,Russian Prince,Abraham,7/20/2020,3:41 PM,americanexpress,ACTIVA,$11500.82
41,Aeriell,Transfer Sheets,Violetta,11/20/2020,2:00 AM,visa-electron,ACTIVA,$4432.23
42,Jarvis,"Juice - Clamato, 341 Ml",Phaedra,7/24/2020,11:08 AM,china-unionpay,ACTIVA,$19609.79
43,Gisela,Cassis,Aguste,9/27/2020,12:38 PM,jcb,ACTIVA,$16239.41
44,Antonina,Dehydrated Kelp Kombo,Leif,1/2/2021,11:06 PM,mastercard,ACTIVA,$9080.92
45,Scarlett,Flour - Rye,Willie,9/9/2020,7:16 AM,visa,ACTIVA,$19556.98
46,Gertrude,"Water - Mineral, Carbonated",Lindy,7/15/2020,6:00 AM,diners-club-enroute,ACTIVA,$6212.71
47,Conroy,Cheese - Colby,Mathias,11/21/2020,12:22 PM,diners-club-carte-blanche,ACTIVA,$12914.88
48,Whitman,"Pork - Tenderloin, Fresh",Bay,12/3/2020,10:03 AM,maestro,ACTIVA,$12941.87
49,Cristy,Parsley - Dried,Bevin,7/23/2020,4:09 AM,jcb,ACTIVA,$13086.46
50,Teddie,Wine - Fat Bastard Merlot,Hortensia,12/16/2020,2:59 AM,jcb,ACTIVA,$10655.11
51,Lammond,Appetizer - Cheese Bites,Arturo,6/19/2020,3:02 AM,jcb,ACTIVA,$10184.24
52,Farrand,Crab - Meat,Dasha,7/15/2020,6:39 PM,jcb,ACTIVA,$13057.86
53,Jilli,Sugar - Icing,Jerrilee,9/19/2020,7:37 AM,jcb,ACTIVA,$13885.41
54,Monica,"Pasta - Lasagna, Dry",Eden,7/21/2020,11:55 AM,jcb,ACTIVA,$13521.17
55,Nil,Scallop - St. Jaques,Fiorenze,12/8/2020,8:47 PM,switch,ACTIVA,$16662.91
56,Kylila,"Veal - Round, Eye Of",Torin,1/22/2021,6:24 PM,jcb,ACTIVA,$19566.26
57,Felicio,Island Oasis - Magarita Mix,Ingram,3/22/2021,5:21 AM,jcb,ACTIVA,$9172.24
