Morley;Bols Melon Liqueur;Linnie;28-2724105;2020/9/7;17:04;1;visa;1;40.03
Vannie;Kellogs Raisan Bran Bars;Emmeline;85-5069574;2020/9/8;18:04;2;mastercard;2;91.64
Lyn;Carbonated Water - Blackberry;Alvie;83-7349278;2020/9/9;19:04;3;bankcard;3;77.25
Wiley;Mountain Dew;Nickey;20-6172659;2020/9/10;20:04;4;bankcard;4;77.75
Dorrie;Sponge Cake Mix - Chocolate;Ana;23-0391503;2020/9/11;21:04;5;china-unionpay;5;64.08
Mellisa;Bandage - Fexible 1x3;Kaleb;99-2371001;2020/9/12;22:04;6;americanexpress;6;45.65
Cora;Devonshire Cream;Jamil;05-1397279;2020/9/13;23:04;7;bankcard;7;32.49
Teresina;Capers - Ox Eye Daisy;Jeff;97-0984484;2020/9/14;00:04;8;visa;8;98.94
Isac;Mix Pina Colada;Torrey;34-0017280;2020/9/15;01:04;9;mastercard;9;1.17
Caritta;Beer - Heinekin;Kerr;33-0404421;2020/9/16;02:04;10;mastercard;10;55.07
Kingsley;Beer - Sleemans Cream Ale;Blake;64-6651318;2020/9/17;03:04;11;americanexpress;11;54.07
August;Tea - Earl Grey;Rey;55-7947139;2020/9/18;04:04;12;maestro;12;10.47
Rose;The Pop Shoppe - Lime Rickey;Kenyon;73-9984835;2020/9/19;05:04;13;americanexpress;13;82.55
Wilden;Oil - Macadamia;Sharlene;43-7284796;2020/9/20;06:04;14;china-unionpay;14;29.39
Horst;Cookies - Oreo  4 Pack;Peterus;42-7214301;2020/9/21;07:04;15;instapayment;15;28.11
Andree;Juice - Orange 1.89l;Midge;91-5334000;2020/9/22;08:04;16;mastercard;16;6.64
Lena;Wine - Riesling Dr. Pauly;Brett;31-1246300;2020/9/23;09:04;17;visa;17;56.52
Natassia;Lentils - Green ;Madge;84-8220786;2020/9/24;10:04;18;americanexpress;18;29.58
Marlene;Tray - 16in Rnd Blk;Giovanna;64-5420647;2020/9/25;11:04;19;maestro;19;48.56
Meggi;Pepper - Chillies;Ursuline;32-4321055;2020/9/26;12:04;20;maestro;20;58.82
